URL	Doc Name	Document ID	Assets URL
http://samueldowd.com/portfolio/assets/INST-941/Week 14 Project/Advertisement Rubric.pdf	Advertisement Rubric		
http://samueldowd.com/portfolio/assets/INST-941/Week 14 Project/Assignment5.2A-FinalProjectProposal-Draft2.pdf	Assignment5.2A-FinalProjectProposal-Draft2		
http://samueldowd.com/portfolio/assets/INST-941/Week 14 Project/Presentation Rubric.pdf	Presentation Rubric		
http://samueldowd.com/portfolio/assets/INST-941/Week 14 Project/SWOT Analysis Rubric.pdf	SWOT Analysis Rubric		
http://samueldowd.com/portfolio/assets/INST-941/Week 14 Project/SWOTAnalysisTemplate.pdf	SWOTAnalysisTemplate		
http://samueldowd.com/portfolio/assets/INST-943/1-27 Final Excel Project Lesson Plan.pdf	1-27 Final Excel Project Lesson Plan		
http://samueldowd.com/portfolio/assets/INST-943/Assignment 1-15 Multiple Choice Quiz.ppt	Assignment 1-15 Multiple Choice Quiz		
http://samueldowd.com/portfolio/assets/INST-943/Assignment 1-16.ppt	Assignment 1-16		
http://samueldowd.com/portfolio/assets/INST-943/Freshman Tech SeminarÿLesson Plan.pdf	Freshman Tech SeminarÿLesson Plan		
http://samueldowd.com/portfolio/assets/INST-943/LA 1.8- Newsletter Sam Dowd.pdf	LA 1.8- Newsletter Sam Dowd		
http://samueldowd.com/portfolio/assets/INST-943/PuzzleMaker puzzle.pdf	PuzzleMaker puzzle		
http://samueldowd.com/portfolio/assets/INST-943/SoftwareEvaluation.pdf	SoftwareEvaluation		
http://samueldowd.com/portfolio/assets/INST-943/Web_Committee_PPT.ppt	Web_Committee_PPT		
http://samueldowd.com/portfolio/assets/INST-951/1.2 Web Site eval.pdf	1.2 Web Site eval		
http://samueldowd.com/portfolio/assets/INST-951/Assignment 16- Sam Dowd.pdf	Assignment 16- Sam Dowd		
http://samueldowd.com/portfolio/assets/INST-951/Assignment 23- Construcivist Theory Dowd_Knapik.pdf	Assignment 23- Construcivist Theory Dowd_Knapik		
http://samueldowd.com/portfolio/assets/INST-951/Assignment 25- Mean Median and Mode copy.pdf	Assignment 25- Mean Median and Mode copy		
http://samueldowd.com/portfolio/assets/INST-951/Assignment 8- Mini Lesson.pdf	Assignment 8- Mini Lesson		
http://samueldowd.com/portfolio/assets/INST-951/Assignment10-ProblemSolvingUnit.pdf	Assignment10-ProblemSolvingUnit		
http://samueldowd.com/portfolio/assets/INST-951/Assignment6-LessonPlan.pdf	Assignment6-LessonPlan		
http://samueldowd.com/portfolio/assets/INST-951/Assignment_10_Problem_Solving_Unit.ppt	Assignment_10_Problem_Solving_Unit		
http://samueldowd.com/portfolio/assets/INST-951/Discussion Board Rubric.pdf	Discussion Board Rubric		
http://samueldowd.com/portfolio/assets/INST-951/InteractivePowerPointPatternsminilesson.pdf	InteractivePowerPointPatternsminilesson		
http://samueldowd.com/portfolio/assets/INST-951/Math Inst Jeopardy (1).pptx	Math Inst Jeopardy (1)x		
http://samueldowd.com/portfolio/assets/INST-951/Math Inst password.ppt	Math Inst password		
http://samueldowd.com/portfolio/assets/INST-951/SMART Notebook.pdf	SMART Notebook		
